id	label	prediction	aggressive_probability	non-aggressive_probability	text
6477		non-aggressive	0.073	0.927	oceansatecole nope You said it Now do it lol
6478		non-aggressive	0.021	0.979	I was waiting for jazmin to see it LOL
6479		non-aggressive	0.041	0.959	On another note yesterday I learned Im starting to care less Claps for Manda 👏
6480		non-aggressive	0.069	0.931	Never EXPECT someones loyalty even when they quote it
6481		non-aggressive	0.03	0.97	StefanMartin huh I was openclose and just got on twitter
6482		non-aggressive	0.074	0.926	I dont remember this at allbut djladyproblems was killin me last night kids… httptcoaUAiriGOyg
6483		non-aggressive	0.073	0.927	Off to Indiana
6484		non-aggressive	0.058	0.942	MarissaAnn97 miss you love
6485		non-aggressive	0.085	0.915	itsaBullocka sorry my moms still teaching me how to share
6486		aggressive	0.575	0.425	Quisterhole yeah like whet Nah bitch dont clean yo act up now
6487		non-aggressive	0.054	0.946	School tomorrow Ehhhhh
6488		non-aggressive	0.072	0.928	We call ourselves the Blues Brothers HOB httptcoV5XGU6pq9T
6489		non-aggressive	0.085	0.915	😂😂 LONG DICK Anthem  httpstcoLJGxtpKtU7”
6490		non-aggressive	0.03	0.97	Today me and Trevor got food played Pokemon for 3 hours smoked t only got more food played Pokemon again smoked t only food
6491		non-aggressive	0.191	0.809	Darthk41 what You dont know that
6492		non-aggressive	0.042	0.958	TrumanCollege added fun stickers to our doors Feels warm and cozy httptco28q94D9Hwl
6493		non-aggressive	0.102	0.898	jackiemillzz eSTANDupp wait thats me not Michelle
6494		non-aggressive	0.007	0.993	Vic4CO4 I work for a firm in DC that helps a lot of vet candidates Would love to chat about turning CO04 blue My  s 3013122453
6495		non-aggressive	0.051	0.949	ShewLace soo delish Way better than the peanut butter
6496		non-aggressive	0.2	0.8	Im fucking cold
6497		non-aggressive	0.076	0.924	emmacarruth miss ya cool kid
6498		non-aggressive	0.074	0.926	Is it weird that I would completely be fine getting hitched tmrw Idc if it is iknowtheone loveher
6499		non-aggressive	0.061	0.939	Finally home 😴😴😴😩
6500		non-aggressive	0.188	0.812	Her Big Ass 😕😕😱😱😱httpstcof0LD0RN4Xv
6501		non-aggressive	0.027	0.973	So in terms of DevTrev bonding and friendship expansion its been a productive day
6502		non-aggressive	0.115	0.885	I dont care driving drunk Im doing my thing  PursuitOfHappiness
6503		non-aggressive	0.075	0.925	ArtieQuitter I heard what you said on Fallon You have a lot of fans that love you amp know youre doing a great job Fuck the basement peeps
6504		non-aggressive	0.044	0.956	circerose man thats pretty good Imma half to write that down
6505		non-aggressive	0.133	0.867	In related news fuck Comcast and its worthless internet
6506		non-aggressive	0.058	0.942	Raise the River vs Move the Ocean Full Story httptcoqINyszPDHg via YouTube movetheocean
6507		non-aggressive	0.155	0.845	If u up Rt
6508		non-aggressive	0.07	0.93	imBlessedx5 all talk
6509		non-aggressive	0.041	0.959	SCHICKquatro eSTANDupp hahahahah I know it is
6510		non-aggressive	0.055	0.945	“UsCapricorns Capricorns are the rulers of sarcasm”
6511		non-aggressive	0.082	0.918	SXEYOUTH hardcoreseptum the hell
6512		non-aggressive	0.056	0.944	My thigh hurtsssss
6513		non-aggressive	0.055	0.945	I always feel Im getting played😒👎💯
6514		non-aggressive	0.082	0.918	they say when you love something let it go amp if it really loves you then you will know SheScreamVoni 🙈😘💪 httptco2w3jTvwEwr
6515		non-aggressive	0.205	0.795	“stasiarenee20 MeeraConley sincerelyhisx3 RavenSOD PadreButts I aint even know I did that😂” Twatchin ass 😭😂😭
6516		non-aggressive	0.032	0.968	I have not been happier in my life Just me and my friends They complete me
6517		non-aggressive	0.064	0.936	to pull an all nighter or nah
6518		non-aggressive	0.023	0.977	oceansatecole lol I would never do that
6519		non-aggressive	0.081	0.919	“LifeCheates By raising your legs slowly and lying on your back you cannot sink into quicksand” Just in case Youre welcome
6520		non-aggressive	0.167	0.833	Gonna make these chicken nuggets out them on bread and make a chicken sandwich 😐 httptco93RpguR0eQ
6521		non-aggressive	0.059	0.941	Redford vs Will Farrell Raise the River vs Move the Ocean Full Story httptcoqINyszPDHg via YouTube movetheocean
6522		non-aggressive	0.057	0.943	timboslice51 couldnt have said it better
6523		non-aggressive	0.046	0.954	When your babe looks really good and youre just in public holding his hand like YUP hes mine 😍👌👌👄👅💦
6524		non-aggressive	0.068	0.932	Religious views httptcoWGtuzwNzeg
6525		non-aggressive	0.07	0.93	resourceful
6526		non-aggressive	0.013	0.987	JerryTetalman I work for a DC firm that helps a lot of first time candidates Would love to chat about campaign Call me at 3013122453
6527		non-aggressive	0.077	0.923	Im a little salty right now and Im not sure why
6528		non-aggressive	0.049	0.951	Nothing like ending 80s night with a little Slayer   Headquarters Beercade  Lakeview httptcoU9Gnbl57XR
6529		non-aggressive	0.2	0.8	hardcoreseptum SXEYOUTH omg she could plant flowers in that shit
6530		non-aggressive	0.068	0.932	Dr Arizona Robbins😍 greysanatomy
6531		non-aggressive	0.03	0.97	Since its late and people are asleep Ill just vote 6thFan WILL
6532		non-aggressive	0.071	0.929	Put my legs behind my head
6533		non-aggressive	0.267	0.733	Cant trust them brawds around the way them bitches devious😡👿
6534		non-aggressive	0.097	0.903	VaughnAssAFool match brogod I know you got da dope
6535		non-aggressive	0.019	0.981	MetroChicago dalejrjrmusic did they call Chicago a town I feel like we are considered a city at this point arent we
6536		non-aggressive	0.3	0.7	Quisterhole 😂😂😂 RonaG wasnt bullshitting amp im her only baby bitch wouldve died
6537		non-aggressive	0.083	0.917	How did I hurt your feelings
6538		non-aggressive	0.263	0.737	If you have to post pictures of how much money your making hmmmm 😐 might just be me but Im not convinced
6539		non-aggressive	0.07	0.93	missprettii89 frm wer
6540		non-aggressive	0.062	0.938	6thFan WILL WIU keep voting
6541		non-aggressive	0.036	0.964	A year ago I wouldve never pictured my life the way it is now
6542		non-aggressive	0.057	0.943	KINGCle lol frfr
6543		non-aggressive	0.064	0.936	JUST SAW A MAN TALKING TO HIS BURRITO AS IF IT WAS HIS PHONE phonesintheotherhandbro drunkie nogoodafter2am
6544		non-aggressive	0.055	0.945	doi1999 or they flew to never never land
6545		non-aggressive	0.07	0.93	teampeeta
6546		non-aggressive	0.012	0.988	My 67 sushi meal was not worth it Go to Balena get a GOOD meal for 30 Seriously I tasted the OCEAN twice  nasty sushi dokku
6547		non-aggressive	0.275	0.725	“sincerelyhisx3 Lmao  bt you aint gone get that number tho  Spit game too her PadreButts RavenSOD stasiarenee20 MeeraConley”😭😂😭
6548		non-aggressive	0.06	0.94	jooberdo were straight chillin at Tylers
6549		non-aggressive	0.144	0.856	Because I said I sometimes like you
6550		non-aggressive	0.082	0.918	6thFan WILL WIU this aint over yet
6551		non-aggressive	0.41	0.59	StefanMartin for fucking real bro Like yeah no shit that hype train left forever ago
6552		non-aggressive	0.043	0.957	xocareless a baddie but I never seen her at carman😨😤random
6553		non-aggressive	0.032	0.968	Late Night Hunger 10to5production rubenlaz93  Jims Original Hot Dog httptcolCw3HiFX4V
6554		non-aggressive	0.104	0.896	brokencomposure stop it
6555		non-aggressive	0.027	0.973	I was able to use my McDonalds Fry holder the other day fatamerica  McDonalds httptcocQn7WYWCvD
6556		non-aggressive	0.147	0.853	When You Miss Ya Girl Call 😂😂😂 bitchesbelike dcinvasion real Yasss This Me 💯 httpstcodfoEEL7WUE
6557		non-aggressive	0.088	0.912	LOL dont start Felicia
6558		aggressive	0.531	0.469	ravenmonique Shit you just dont want kids period both sexes acting a damn fool
6559		non-aggressive	0.088	0.912	Im not sleepy 😖😖
6560		non-aggressive	0.069	0.931	“doi1999 What the hell happened to Malaysian plane I dont think it was terrorism or kidnapping Sometimes Allah works in mysterious ways
6561		non-aggressive	0.132	0.868	Let me get off this now…cus im tired
6562		non-aggressive	0.021	0.979	For my birthday will someone take me to see my wife Miley Cyrus in concert or naaahhhhhh  😍🙌
6563		non-aggressive	0.04	0.96	Lmao That DM Though 😂😂😂😂 BugattiBEEZ So Random
6564		non-aggressive	0.19	0.81	Take yall ass to sleep
6565		non-aggressive	0.07	0.93	Cough cough 💀
6566		non-aggressive	0.056	0.944	Why do I always have to be feeling like Im near death
6567		non-aggressive	0.048	0.952	Why am i still awake
6568		non-aggressive	0.087	0.913	Quisterhole hell yeah she know wassup
6569		non-aggressive	0.297	0.703	Sometimes you ARE annoying as shit Other times you are funny But mostly annoying as shit
6570		non-aggressive	0.115	0.885	StefanMartin Dorris was meh His work with flylo was decent though What you an odd future fuckboi now GOLFWANG
6571		non-aggressive	0.051	0.949	They put on a show tonight  Lumen httptcoOw3CMYiFqF
6572		non-aggressive	0.066	0.934	Me and kye convo so funny
6573		non-aggressive	0.069	0.931	MikeWhikehart Darthk41 hey Mikey
6574		aggressive	0.658	0.342	Keep it 💯 you a lying ass nigga 😒
6575		non-aggressive	0.275	0.725	3 Phones want call a bitch 💯
6576		non-aggressive	0.031	0.969	SocialStudyOGTQuestion  Should we be on the lookout for Stasia amp this new bae she bout to have 😂😭😂
6577		non-aggressive	0.052	0.948	Hearing goodnight beautifulspeechless 😍 Sunday night cant come soon enough
6578		non-aggressive	0.025	0.975	OMG oomf sooooooo made my night today lmfao
6579		non-aggressive	0.007	0.993	KathrynXian I work for a DC firm that helps a lot of AAPI candidates Would love to chat about the campaign My  is 3013122453
6580		non-aggressive	0.059	0.941	Im finna start saying iight 1
6581		non-aggressive	0.056	0.944	Lol Im really tryin to figure out do she go to carmanfuck it Im on a hunt tommorow LBVS
6582		non-aggressive	0.142	0.858	When you tryna see who textin Bae httptco4wudaMsf1O
6583		aggressive	0.683	0.317	KiaraSoPretty bitch ass nigga dog
6584		non-aggressive	0.082	0.918	GoodNight Yall ✌✌
6585		non-aggressive	0.031	0.969	Lol what happens when maddyfbennett and I attempt to take a cute photo photobombed  Blackies httptcouK5tFnwG3D
6586		non-aggressive	0.068	0.932	How can I trust you when I know amp see you for who you are
6587		non-aggressive	0.066	0.934	radaronline post the nudes
6588		non-aggressive	0.036	0.964	Walking in the good with newest exclusive Js WillGetYouRobbed
6589		non-aggressive	0.095	0.905	She aint text me nd like 4 hoursthen she start complaining like I did some😒
6590		non-aggressive	0.053	0.947	I have the worst headache over my left eye
6591		non-aggressive	0.028	0.972	My 1 and only bae 4eva walterbeagle httptcokPTHGPUogi
6592		non-aggressive	0.025	0.975	Lol when my roommate calls me telling me to go on a rant about pucksluts roomielove
6593		non-aggressive	0.021	0.979	Upper deck my toilet so I know its real
6594		non-aggressive	0.085	0.915	I been listening to that shit all day night  myKRAZYlife
6595		non-aggressive	0.034	0.966	Can we just skip Friday and fast forward to Saturday
6596		non-aggressive	0.036	0.964	BusterESPN Sterling Castro cubs would be good fit at  nym
6597		non-aggressive	0.057	0.943	Ill never CHANGE  you can COUNT on that
6598		non-aggressive	0.126	0.874	WILDWOOD500 DolphinoIrv we both gettin kushy what you got to it
6599		non-aggressive	0.311	0.689	“stasiarenee20 sincerelyhisx3 PadreButts RavenSOD MeeraConley fuck dattt Im out ✌️” Quit runnin punk 😭😂😭
6600		non-aggressive	0.066	0.934	Sleeping NAKED gtgtgtgtgt 👀😩❤️💯
6601		non-aggressive	0.039	0.961	About to call Carlos 😘✌️ good night
6602		non-aggressive	0.054	0.946	Logan Square  Chicago httptco8cmKfRWzCC
6603		non-aggressive	0.059	0.941	I never really realize how much snoop dog actually looks like a dog 😂😂😭
6604		non-aggressive	0.072	0.928	Macho Man Randy Savage  wrestler Costco Pan Brandy Cabbage  grocery list
6605		non-aggressive	0.07	0.93	I swear to fark I dont know how to sleep
6606		non-aggressive	0.199	0.801	Im in love with a thick bitch 🍑👯
6607		non-aggressive	0.338	0.662	CassiMcnasti Darthk41 oh fuck Dont do that to me please
6608		non-aggressive	0.058	0.942	KINGCle lol I thought u didnt
6609		non-aggressive	0.072	0.928	Mansion party tomorrowor nah HELL YES
6610		non-aggressive	0.093	0.907	KiaraSoPretty wtf yall doing
6611		non-aggressive	0.044	0.956	Where the hos at  💁
6612		non-aggressive	0.137	0.863	People that write Cash on the tip line then dont tip are the worst
6613		non-aggressive	0.151	0.849	I been home all week n didnt do shit 😤
6614		non-aggressive	0.085	0.915	missprettii89 damn wout me Lol
6615		non-aggressive	0.171	0.829	I think if we was texting on some us shit I wouldve never been short 💯tf
6616		non-aggressive	0.038	0.962	it literally sounds like someones on my back porch shoveling soscared
6617		non-aggressive	0.07	0.93	Craving hummus
6618		non-aggressive	0.055	0.945	vscocam chicago alliance bakery artdeco  Alliance Bakery httptcofBM7Sdz3TI
6619		non-aggressive	0.056	0.944	3am and im not even tired
6620		non-aggressive	0.05	0.95	Why she bullshitin im might have to see if she loyalNAHHH I gotta track her down first lmfao
6621		non-aggressive	0.034	0.966	Having a plan for my life finallygt now I just gotta put it to action
6622		non-aggressive	0.078	0.922	MikeWhikehart what up dude
6623		non-aggressive	0.039	0.961	I thought Id make bunch of statuss filled with nonsense on Facebook but thats duuuummmb
6624		non-aggressive	0.094	0.906	Text me somebody  anybody 😫
6625		non-aggressive	0.097	0.903	WwDcLodiii Answer Yo Phone UGLY❤
6626		non-aggressive	0.137	0.863	WILDWOOD500 DolphinoIrv oh yeah you making dat move wit da moes
6627		non-aggressive	0.077	0.923	I dont even want to go back to Monmouth yo
6628		non-aggressive	0.07	0.93	✈️🌴☀️🌊🍹
6629		non-aggressive	0.059	0.941	Pools my game🎱
6630		non-aggressive	0.108	0.892	daDansherry luv u ❤️❤️❤️
6631		non-aggressive	0.449	0.551	Fuck that judgmental ass place
6632		non-aggressive	0.013	0.987	EhabAtalla1 I work for a DC firm that helps a lot of Muslim candidates Id love to chat about the campaign Give me a call at 3013122453
6633		non-aggressive	0.077	0.923	TL slowing up ✌💤
6634		non-aggressive	0.171	0.829	Darthk41 you could follow me Im prompt
6635		non-aggressive	0.039	0.961	Being away from my goober never gets easier 😔 httptcocCRwcWKfQF
6636		non-aggressive	0.038	0.962	nposey95 to early to b saying team no sleep this is amateur status rn
6637		non-aggressive	0.044	0.956	“LordeDaily Lorde and Ellie Goulding httptcoEyJjRkCb36” so so cute
6638		non-aggressive	0.052	0.948	Lol I really wanna know who she is
6639		non-aggressive	0.097	0.903	Imma just go to fucking bed
6640		non-aggressive	0.132	0.868	Next kid who just fucking runs in to me and then touches my shoulder is getting fucking decked
6641		non-aggressive	0.081	0.919	Ideefixe I like what I see
6642		non-aggressive	0.053	0.947	Wtf are we watching
6643		non-aggressive	0.029	0.971	Oh well oomf went to sleep loser lol jk
6644		non-aggressive	0.038	0.962	50 shades of woof
6645		non-aggressive	0.075	0.925	lalaami you mean chicago
6646		non-aggressive	0.275	0.725	“jenisethegreat bitch ” cunt
6647		non-aggressive	0.063	0.937	Lol Im inspector gadget tommorow
6648		non-aggressive	0.034	0.966	imBlessedx5 Good Night ☺️👌
6649		non-aggressive	0.024	0.976	The fact I graduate in 2 months
6650		non-aggressive	0.062	0.938	missprettii89 not funny lol
6651		non-aggressive	0.104	0.896	“TruthMessiah treat your body with respect you only get one” Ironic as we just get home from slowly killing our bodies this past week
6652		non-aggressive	0.103	0.897	amp I dont know how Ima manage if one day you just up and leave
6653		non-aggressive	0.053	0.947	Also I guess I miss these assholes too httptcopwFd2tdzaH
6654		non-aggressive	0.016	0.984	davestrohmaier I work for a DC that helps a lot of Enviro candidates Would love to chat about campaign Call me at 3013122453
6655		non-aggressive	0.3	0.7	But Felicia aint kn shit so Im headed to bed
6656		non-aggressive	0.083	0.917	Still cant sleep FML
6657		non-aggressive	0.091	0.909	Bxtches be funny
6658		non-aggressive	0.032	0.968	uMADibro I love it
6659		non-aggressive	0.032	0.968	Well after seeing that I know where I stand ✌
6660		non-aggressive	0.065	0.935	Go shorty its your birthday 🍹🎊🎈🎉brttnyybckrx
6661		non-aggressive	0.043	0.957	And that has been this evenings segment of Kaseys only friends are her pets
6662		non-aggressive	0.04	0.96	brandonlopezz Blo go home youre drunk lol
6663		non-aggressive	0.027	0.973	Look what friendly ol simplysylvio decided to give me from the fun 8BALL also in black amp white httptcoX1oySIbyyV
6664		non-aggressive	0.066	0.934	Jeremyyyyy Lol Nah Im Just Up Thuggin😂😂💪
6665		non-aggressive	0.11	0.89	FriendzoneGales Bouldddin did you get asked to prom yet
6666		non-aggressive	0.086	0.914	ShewLace Hahaha they should be in every vending machine People would enjoy life more
6667		non-aggressive	0.013	0.987	SmithsonianChan BlondieOfficial thank you so much for the AMAZING show tonight My night was perfect
6668		non-aggressive	0.153	0.847	lalaami anyways y u still up
6669		non-aggressive	0.199	0.801	tyberspace just fucking with you my dude
6670		non-aggressive	0.101	0.899	bridgetgriffin kquattro22 get me too
6671		non-aggressive	0.37	0.63	But aint niggas blanvm YungRajee Niggas be so mad when a girl only likes black guys 😂😂
6672		non-aggressive	0.081	0.919	ryleebooth thats gross
6673		non-aggressive	0.41	0.59	Im Still Uhp N Shit Im Gone Tew Bed
6674		non-aggressive	0.466	0.534	rock star bitch call me Elvis MOB she call me selfish success got em jealous
6675		non-aggressive	0.091	0.909	oceansatecole youre still up
6676		non-aggressive	0.062	0.938	I accidentally punched some girl in the face oops
6677		non-aggressive	0.076	0.924	She bet not be cuffed or carman go be in war tommorow
6678		non-aggressive	0.027	0.973	I just realized lent and New Years resolutions are pretty much the same thing
6679		non-aggressive	0.043	0.957	I understand that no girl wants a relationship with a guy thats always gone but Id b fine with someone to just spend time with when Im
6680		non-aggressive	0.053	0.947	Im such an awesome person Ill go out my way 2 make ppl happy I show ppl the ropes if I know em I bless ppl with hustle n help MFs eat
6681		non-aggressive	0.041	0.959	Chicago knows how to party god damb
6682		non-aggressive	0.117	0.883	MarvelusDarling I like you youz cute
6683		non-aggressive	0.105	0.895	“kaaykillaa This is not a good time to be wide the fuck awake” go to bed
6684		non-aggressive	0.052	0.948	They say the best way out is through
6685		non-aggressive	0.207	0.793	“saraaaahhhhh I have a boyfriend so fuck off boys”no
6686		non-aggressive	0.037	0.963	What can I watch on Netflix
6687		non-aggressive	0.072	0.928	JGETEE why not
6688		non-aggressive	0.036	0.964	IMACTUALLYGOOD Good Morning Mr Garden
6689		non-aggressive	0.073	0.927	AfroThndrThighs You dont catch no breaks on here do you lol
6690		non-aggressive	0.064	0.936	That shower was definitely needed
6691		non-aggressive	0.202	0.798	tinawoodsss your face  I like that sht 😍
6692		non-aggressive	0.075	0.925	Have always been
6693		non-aggressive	0.029	0.971	Joe screaming bloody murder in his sleep every night is the most terrifying thing in the world
6694		non-aggressive	0.087	0.913	Anything that could be created can be destroyed
6695		non-aggressive	0.058	0.942	Me and selfies where never ment to bebadhairday httptcoaAeZdoq0H5
6696		non-aggressive	0.101	0.899	Im sorry Ms Jackson pandora
6697		non-aggressive	0.033	0.967	Credo4Congress I work for a DC firm that helps a lot of continental African candidates Would like 2 help flip TN07 Call me at 3013122453
6698		non-aggressive	0.07	0.93	have you seen it its great they got stuff
6699		non-aggressive	0.236	0.764	NOLIMITKYRIN Im Fareal Lil Hot Pussy Ass Lil Wanchs Go Find Yall Own Picture Lbs 😒😒😒😳😂
6700		non-aggressive	0.078	0.922	Im hungry 🙎🙎🙎
6701		non-aggressive	0.096	0.904	SheScreamVoni did you make it home stink
6702		non-aggressive	0.037	0.963	I am for real
6703		non-aggressive	0.017	0.983	lalaami just got home from work n the coffee i drunk is still in my system doing it work
6704		non-aggressive	0.033	0.967	danlev as long as its obviously a link there are no rules sometimes its hard to achieve without underline though
6705		non-aggressive	0.021	0.979	I had a bad day today then I came to twitter
6706		non-aggressive	0.104	0.896	RachelSuzyQ12 StefanMartin didnt she use the n word a bunch or something
6707		non-aggressive	0.174	0.826	Bouldddin FriendzoneGales WHAT NOOOOOOO HE NEEDS TO ASK YOU
6708		non-aggressive	0.037	0.963	TheJHF NOMOREorg Mariska Posted by mey621TN Sen unanimous approves bill to remove rape statute of limitations httptco2glZvEhTLN
6709		non-aggressive	0.053	0.947	Late night thoughts
6710		non-aggressive	0.101	0.899	“sincerelyhisx3 He ws jst at ya neck a min ago amp now he want you too share yo ice cream  😂  Ashferd”😭😂😂
6711		non-aggressive	0.034	0.966	Yea it do take 4 hours to clean a room  😒👌
6712		non-aggressive	0.053	0.947	mrbiigp playin some pool with the boys lol hbu
6713		non-aggressive	0.023	0.977	“UberFacts On January 1st 2014 it was colder in Canada than it was on Mars”  rachelsmeissner
6714		non-aggressive	0.076	0.924	Despite with tonnes of assignments and quizzes habis gak Call of Duty Ghost terbaik la siak
6715		non-aggressive	0.076	0.924	Bouldddin FriendzoneGales fine Emily I will take you to prom 💖
6716		non-aggressive	0.053	0.947	I came to see GaelicStorm but I found the gems of WeBanjo3 You could call it a successful night lovethemboth httptcoOgSsGtMziu
6717		non-aggressive	0.071	0.929	Am a living withness not every one is my enemy
6718		non-aggressive	0.206	0.794	SheScreamVoni call me when you get in 👌
6719		non-aggressive	0.03	0.97	“DANtheMANharris One day when i have my son Im going to push him to be 10x greater than I could ever be 💯”
6720		non-aggressive	0.068	0.932	IMACTUALLYGOOD Shkungie I like this
6721		non-aggressive	0.026	0.974	Lol Im bout to try and go to sleep even though I gotta wake up in two hours
6722		non-aggressive	0.065	0.935	This guy sold me a iPhone 5 case instead of 5c dumb cunt
6723		non-aggressive	0.054	0.946	Happy Pi Day LTMarcelosdad
6724		non-aggressive	0.059	0.941	Just posted a photo  NV Penthouse Lounge httptcor0BnXMHODs
6725		non-aggressive	0.069	0.931	Cramps are the worst
6726		non-aggressive	0.058	0.942	mey621 I also forwarded to a few other pertinent Twitters hope thats okay
6727		non-aggressive	0.042	0.958	coolfunnytshirt LEDtvn chief you know and I know everything about the rotten party Lets just expose them
6728		non-aggressive	0.087	0.913	SocialStudiesOGTquestion ls this Jonah nigga funny in person or only on twitter 😂
6729		non-aggressive	0.035	0.965	Last Friday lecture Oh wait I have the same schedule next quarter Welp
6730		non-aggressive	0.052	0.948	not hooping Saturday might call Jess over so I can fix my relationship 😼
6731		non-aggressive	0.044	0.956	2am swag httptcoXQV32tJygP
6732		non-aggressive	0.044	0.956	Play MotorWorld for FREE and become the GREATEST CAR MAKER Use my code LIHE8775 to get a bonus httptcoGuRcpnNKG6 MotorWorld
6733		non-aggressive	0.072	0.928	Cant sleep 😩
6734		non-aggressive	0.059	0.941	Latenight Womenamp39s Risky Business Cami amp Thong get in touch httptcodVRCjIFsEe
6735		aggressive	0.622	0.378	DaddyGriggs Wake yall bitch ass up😂
6736		non-aggressive	0.051	0.949	lalaami am watching this scary thinking i will be scared then sleep but my eyes are not even blinking😜
6737		non-aggressive	0.054	0.946	Theres a good chance Im not going to class tomorrow 😜🍻
6738		non-aggressive	0.076	0.924	“Bouldddin “karleeeeeee Bouldddin FriendzoneGales fine Emily I will take you to prom 💖” WhoribIe” Swagify
6739		non-aggressive	0.121	0.879	FilipinoBFF good fucking call
6740		non-aggressive	0.135	0.865	“FoxNews California father accused of biting off crying infants nose httptcoAaLVEYR8Se” Ive got your nose has gone too far
6741		non-aggressive	0.082	0.918	ugh cant sleeeeep cus idek
6742		non-aggressive	0.077	0.923	Like who wouldnt want a girl with elegance intelligence  And a cute way of presenting it
6743		non-aggressive	0.101	0.899	Finna Get High amp Tweak Off Vine
6744		non-aggressive	0.115	0.885	Ur dead to me
6745		non-aggressive	0.013	0.987	almcaffrey I work for a DC firm that helps a lot of Vet candidates Would love to chat about the campaign Call me at 3013122453
6746		non-aggressive	0.078	0.922	Still havent skyped
6747		non-aggressive	0.048	0.952	I think dolas dead guys horseluhver973 praying 🙌🍻🍻🍻blacked
6748		non-aggressive	0.065	0.935	Also the amount of things that happened to me tonight is questionable I never thought people knew who I was
6749		non-aggressive	0.094	0.906	Talking about New York with Benj really makes me miss it 😭🍎🗽 take me bbbaaaccckkk
6750		non-aggressive	0.049	0.951	Bouldddin FriendzoneGales I need a boy date thoughhhhh
6751		non-aggressive	0.098	0.902	Moms brought home mcdonalds  Ion even have a appetite
6752		non-aggressive	0.057	0.943	who wouldnt want a girl with elegance intelligence and a cute way of presenting it
6753		non-aggressive	0.009	0.991	I wish I had a TV on my ceiling in my bedroom so I could literally lay in bed and watch TV
6754		non-aggressive	0.047	0.953	So true httptcof24s24gZZs
6755		non-aggressive	0.147	0.853	All My Niggas 150 Aint None Of My Niggas With Youuu
6756		non-aggressive	0.07	0.93	ThisCouldBeUsButYouPlayin httptconqGFhMCxm5
6757		non-aggressive	0.139	0.861	“PadreButts stasiarenee20 I aint even flirtin anymore you dry smh you can go whenever 😂👋” 😭😂😭😂😭😂
6758		non-aggressive	0.054	0.946	Logan Square  Chicago httptcoFtW6CRsgcZ
6759		non-aggressive	0.07	0.93	Hey charlieworsham anyone in your family last name get spelled Warsham by mistake curious
6760		non-aggressive	0.161	0.839	nw Welcome to the Jungle  funny shit
6761		non-aggressive	0.102	0.898	The look when someone keep sending you the same snap chat on their stories httptcoTtB13RtMzl
6762		non-aggressive	0.047	0.953	I want red lobster 🐟🍤
6763		non-aggressive	0.236	0.764	Sharing is caring so can I please take your bitch 😏 I asked nicely 😂💯
6764		non-aggressive	0.037	0.963	UAgiveaway sisayings hey jack Ill take a pair of 105 UArocks
6765		non-aggressive	0.078	0.922	This YG album is finna be bumpin
6766		non-aggressive	0.083	0.917	He said she dry 🌵😩😂💀💀💀💀💀
6767		non-aggressive	0.072	0.928	Bouldddin FriendzoneGales AHAHAHAHAHHAA he wont go with me
6768		non-aggressive	0.021	0.979	Wind 17 mph S Barometer 29818 in Falling Temperature 333 °F Rain today 000 in Humidity 88
6769		non-aggressive	0.051	0.949	Why is no one awake
6770		non-aggressive	0.046	0.954	And my nails done 💅💕
6771		non-aggressive	0.046	0.954	“UberFacts The first man to survive going over Niagara Falls later died from slipping on an orange peel” rachelsmeissner
6772		non-aggressive	0.169	0.831	if youre someone who makes collages of yourself for social media you should probably stop lol
6773		non-aggressive	0.1	0.9	AMBERcrombie heres some corny stuff thats right up yo alley httptcoX8Y7EOodOU
6774		non-aggressive	0.039	0.961	LMFAOO yup on a binge thanks to KaylaTheBizz hahahah thanks  SummerHeightsHigh httptcoC0ARinHIvv
6775		non-aggressive	0.22	0.78	Fuck it imma be in first hour like 😩😴😴😴
6776		non-aggressive	0.08	0.92	Yikes  Suntimes Potholes Potholes EVERYWHERE cc chipotholes httptcoXvgLkZg22C RT SamNylen Suntimes A pothole”
6777		non-aggressive	0.056	0.944	vscocam birthday pisces gina  The Bedford httptcoyD26jCIbmk
6778		non-aggressive	0.068	0.932	Bouldddin throwback Thursday
6779		non-aggressive	0.039	0.961	I get high to eat  sleep amp think 👌
6780		non-aggressive	0.034	0.966	I might actually fall asleep before 3 tonightits a miracle
6781		non-aggressive	0.085	0.915	Everytime you smile I smile ❤️
6782		non-aggressive	0.046	0.954	Getting my twists next week 👏🙌
6783		non-aggressive	0.037	0.963	Damn twitter on 10
6784		non-aggressive	0.033	0.967	hegotmoney  JewelOsco w 2 others pic httptcoJJPtSKM5uh
6785		non-aggressive	0.041	0.959	This is one of the cutest things Ive ever been told httptcoGuHSAmmAmr
6786		non-aggressive	0.024	0.976	Love Is Where You Find  At Last by Nancy Wilson is nowplaying in The Richmond Office
6787		non-aggressive	0.1	0.9	Im getting so fucked up tomorrow 😩😏
6788		non-aggressive	0.251	0.749	AlleeTheTruth dont blackout Get some ass lol
6789		non-aggressive	0.064	0.936	lalaami cant blame nun but the coffee
6790		non-aggressive	0.073	0.927	She hurt feelins she break hearts she stay quiet she play smart
6791		non-aggressive	0.059	0.941	Kendra tweeting every line of the song she listens too
6792		non-aggressive	0.049	0.951	Dwight Howard singly handily lost me that 2k game laziest and softest mother fucker Ive ever seen pussy
6793		non-aggressive	0.021	0.979	And 8 days till I see HilliaryWright 👙🌴🌺
6794		non-aggressive	0.044	0.956	5thwheelin 😂
6795		non-aggressive	0.156	0.844	YOU GONNA REAP JUST WAT U SOW
