id	label	prediction	aggressive_probability	non-aggressive_probability	text
6028		non-aggressive	0.091	0.909	Survival19946 Not too sure if this song is old or new but it doesnt matter that song is off the chain
6029		non-aggressive	0.248	0.752	I fucking hate when kids claim Chicago You live in the fucking suburbs shut up beatoff
6030		non-aggressive	0.053	0.947	minemanbuns heres a little bit of my widsom httptcos66mfNHMsf
6031		non-aggressive	0.262	0.738	coreyadkins TylerrrHall Ill kick your ass httptcoRcyslFBMFa
6032		non-aggressive	0.207	0.793	Niggas not valid
6033		non-aggressive	0.04	0.96	I dont think Ive ever ridden an Amtrak train before  Chicago Union Station  chiunionstation w 9 others httptcobexaYTATFt
6034		non-aggressive	0.044	0.956	3rd underway
6035		non-aggressive	0.034	0.966	So ready for the Supercross tomorrow
6036		non-aggressive	0.037	0.963	Somebody go to olivegarden with me so I can get my unlimited salad and breadsticks 😍
6037		non-aggressive	0.112	0.888	Mfs Be Doing The Most
6038		non-aggressive	0.489	0.511	Bitch dont kill my vibe ☀
6039		non-aggressive	0.068	0.932	Talk Ill listen
6040		non-aggressive	0.057	0.943	My tummy hurts alittle 👎
6041		non-aggressive	0.035	0.965	The ppl I got close to is the main ones turning but whatever
6042		non-aggressive	0.061	0.939	stonerkittty looks like its about to sneeze 😂
6043		non-aggressive	0.126	0.874	EnglishClassExams I can now explain to you in 500 words that I understood the material Fuck multiple choice writers
6044		non-aggressive	0.027	0.973	shadoweli gabygomez216 I love the hashtag ratchetbitches 😂
6045		non-aggressive	0.126	0.874	Jadiebutter its enough to find the profile then they have to accept your request Try just adding me as a contact Search jacoblaserbeam
6046		non-aggressive	0.031	0.969	Is it wrong to eat chocolate for breakfast lunch and dinner
6047		non-aggressive	0.023	0.977	Im at Chicago OHare International Airport ORD 10000 W OHare Ave Chicago httptcoXhTbnPdjE3
6048		non-aggressive	0.031	0.969	Well I made a new friend at impact today 💁👌
6049		non-aggressive	0.091	0.909	Im tired of breathing
6050		non-aggressive	0.032	0.968	I LOVE promposals
6051		non-aggressive	0.024	0.976	Merchandising During the Slow Months in RetailMinded by wolfson15a provides insightful tips on staying fresh httptcoS1l5kurkhX
6052		non-aggressive	0.039	0.961	Let me rant real quick about my movie experience this morning
6053		aggressive	0.526	0.474	💁💁💁 dont walk around like youre shit dont stank 💩💩🙊🙊
6054		non-aggressive	0.078	0.922	jennafritz HEY ITS OK BECAUSE WERE ANNOYING😎
6055		non-aggressive	0.061	0.939	The perfection 😍💕 httptcovBG9AKHQYU
6056		non-aggressive	0.028	0.972	I feel like selfie by chainsmokers was written for me jam
6057		non-aggressive	0.067	0.933	😜😛  Friday 😜😛
6058		non-aggressive	0.1	0.9	Never wana get close to nobody else period
6059		non-aggressive	0.033	0.967	Woooo thtBlessedKid12 found my pic on the IG explore feed 😎😎FFOE
6060		non-aggressive	0.055	0.945	Swim anyone  W Chicago  Lakeshore httptcoqZEn4RAsB3
6061		non-aggressive	0.053	0.947	My mom just got a twitter😂😅
6062		non-aggressive	0.045	0.955	“Tha5SOSFamily Calum at the Norwich gig httptco9ee1rKEMkP DouniaGaio”he kinda just kicked it off the stage amp gave a thumbs up
6063		non-aggressive	0.055	0.945	This is why I could delete her 😠 httptcoBxp53MImmP
6064		non-aggressive	0.043	0.957	I drink some cointreau keep it in my poncho
6065		non-aggressive	0.053	0.947	Final game Ready to have fun
6066		non-aggressive	0.022	0.978	Wind 52 mph E Barometer 30179 in Falling Temperature 164 °F Rain today 000 in Humidity 53
6067		non-aggressive	0.041	0.959	Dropped a casual 40 on vitamins life
6068		non-aggressive	0.049	0.951	Why must my nurse be so hot
6069		non-aggressive	0.056	0.944	But who am I to get involved  😩🚶
6070		non-aggressive	0.069	0.931	Unholy mole dropped off at wlvliquors and caponeliq
6071		non-aggressive	0.034	0.966	CBeezy1023 whaaa 😳 its like 650 calories 60 grams of protein and 85 carbs
6072		non-aggressive	0.056	0.944	erincarroll3 ON WHAT
6073		non-aggressive	0.033	0.967	had the best dream about CameronDallas 😍😍
6074		non-aggressive	0.08	0.92	Like really nobody knows how cute I think Millie is
6075		non-aggressive	0.062	0.938	jumo24 is too strong httptcoAmdh1LPIs2
6076		aggressive	0.636	0.364	💁💁💁 dont walk around like your shit dont stank 💩💩🙊🙊
6077		non-aggressive	0.051	0.949	One went lighterthe others are manifesting fresh green anything 🌱🍀🐛Omg hilarious Not near as… httptcoFJuRs2OEcw
6078		non-aggressive	0.059	0.941	sneezed on the beat and the beat got sicker
6079		non-aggressive	0.047	0.953	So sick 😎
6080		non-aggressive	0.024	0.976	Drinking an Arctic Panzer Wolf by 3floyds at rjgruntschicago — httptcoZTvMJq7VZB
6081		non-aggressive	0.029	0.971	3M for the shirts httptcoHMmrIKoBYB
6082		non-aggressive	0.034	0.966	Weee made it just in time at CTA  Cumberland httptco5Y81NUrm99
6083		non-aggressive	0.017	0.983	Im at the dmv and my math teacher from last semester is here o
6084		non-aggressive	0.047	0.953	Its so nice out
6085		non-aggressive	0.056	0.944	MOCHAsays lmao The guns will come out if something goes wrong
6086		non-aggressive	0.176	0.824	Im burning the shit outta my legs right now
6087		non-aggressive	0.067	0.933	“TheBucktList Fave if youd want to httptcoRf102amRda” 😍
6088		non-aggressive	0.064	0.936	“lottaeucapt Out making some turns httptcog1gOebgAiZ”  Looking good Lotta
6089		non-aggressive	0.18	0.82	“RapAboutCereal Never trust a nigga that wear thong flip flops” no nigga should wear Thippers
6090		non-aggressive	0.199	0.801	Fuck stress have sex
6091		non-aggressive	0.104	0.896	ErinMcG10 Im totally down marybrennnan Ekeaty21 vivalaClairee emmuh27 you guys in
6092		non-aggressive	0.055	0.945	JimmyClarke Robinson Hakeem Nicks on a prove it deal Edelman or even Britt on a low risk move are some ways Denver can go
6093		non-aggressive	0.034	0.966	But I got my Starbucks and that was pretty nice I was having withdrawals
6094		non-aggressive	0.061	0.939	why should i try if it doesnt matter
6095		non-aggressive	0.034	0.966	Im at The Resort Greenfield IN httptco3BRuFmFUrp
6096		non-aggressive	0.07	0.93	BETiGOTSUMWEED
6097		non-aggressive	0.046	0.954	midnight NewOscarCategories best M Night Shyamalanesque twist
6098		non-aggressive	0.031	0.969	Love how my friends text me back Oh wait
6099		non-aggressive	0.015	0.985	Im so over this damn week Apparently my grandparents forget Im 20 and Ill do what I want when I went and come home when I want ✌️
6100		non-aggressive	0.031	0.969	My grandma is seriously procrastinating on purpose right now 😡
6101		non-aggressive	0.114	0.886	WifeUpOrShutUp Ill help bail you out
6102		non-aggressive	0.197	0.803	Ready to make this test my bitch 😈👌
6103		non-aggressive	0.041	0.959	I wear purple because we all deserve self love because were not defined by numbers and because I support recovery👚 NEDAweekNEDAwareness
6104		non-aggressive	0.028	0.972	missluv2luvu I spent too much damn money lol I got some great stuff though Ill share
6105		non-aggressive	0.058	0.942	Im all about express trains until they go too far from my stop 😔
6106		non-aggressive	0.076	0.924	DrinkBODYARMOR what do you think of the Detroit pistons and what theyre potential is
6107		non-aggressive	0.038	0.962	How bout that for a family photo Now its about to get dusty in this room  Paulina house httptcoAUOEt0JDht
6108		non-aggressive	0.033	0.967	Missing my baby so so so so ridiculously much
6109		non-aggressive	0.133	0.867	EastonHollister screw you
6110		non-aggressive	0.036	0.964	lol  my whole gc being on the same schedule 😶
6111		non-aggressive	0.202	0.798	Sp1keCity i honestly hope its over 400 seconds and you bet your ass ill watch all of it
6112		non-aggressive	0.032	0.968	Im at Workday  Chicago Chicago IL httptcozWEeL5R2zo
6113		non-aggressive	0.06	0.94	Eating the year old pop tarts in Noahs room desperation
6114		non-aggressive	0.062	0.938	I speak up for whoever tf iwant 💁💪
6115		non-aggressive	0.253	0.747	My daddy bought me halos amp my momma bald head ass took one I called her amp said you need to grow up  you too old to be eating my halos lol
6116		non-aggressive	0.052	0.948	Roughing on Generals
6117		non-aggressive	0.055	0.945	Im Too Good For Certain Mfs
6118		non-aggressive	0.027	0.973	Whenever I just get to GR I feel like I gotta listen to Street is Mine by Boosie hahaha
6119		non-aggressive	0.055	0.945	This song was cold httptcoD4dIAgThhB
6120		non-aggressive	0.073	0.927	TSP1998 How do u edit really good TSP1K
6121		non-aggressive	0.036	0.964	98 on Hinduism test and 95 on English test Im crying rn Thank you Based God
6122		non-aggressive	0.055	0.945	What Who cares its the weekend turnup weekendbegins weekendneverends
6123		non-aggressive	0.012	0.988	Waiting at the red line This lady has been singing in the name of Jesus for the last 10 minutes cta
6124		non-aggressive	0.031	0.969	Ms menge yellin at me for being in the recycling bin after school lol httptcoAn67sRGlwa
6125		non-aggressive	0.073	0.927	Tired of being alone
6126		non-aggressive	0.065	0.935	minemanbuns the mint leaves make the drink
6127		non-aggressive	0.164	0.836	GO RETWEET THIS SHIT httptcoMCJtY8bhQx
6128		non-aggressive	0.069	0.931	Finally get to leave
6129		non-aggressive	0.039	0.961	laynegerman haha for real We will have to meet up
6130		non-aggressive	0.091	0.909	CBeezy1023 well remember Im 215 my body needs more than yours would Get me
6131		non-aggressive	0.037	0.963	Im about to go to Liams looking like a bum in pajama pants a hoodie amp my hair up🙈
6132		non-aggressive	0.057	0.943	erincarroll3 holy shit I got 85 i just checked ill take that all day
6133		non-aggressive	0.016	0.984	So I went to see Wind Rises this morning decent Miyazak flick I specifically went in the morning so I avoid weeaboo kids
6134		non-aggressive	0.095	0.905	Chucks2MakerFuk give me a day and time and Im there
6135		non-aggressive	0.024	0.976	Im so nervous about the math test I took today
6136		non-aggressive	0.048	0.952	Meadow on The Sopranos😍
6137		non-aggressive	0.163	0.837	WifeUpOrShutUp 😂 just the look on her face likegirl smile or something Pretend like you know what youre doing
6138		non-aggressive	0.03	0.97	Seriously Ive been listening to country music for my entire shift WhoAmI
6139		non-aggressive	0.037	0.963	Were sneaking out a little early today TGIF But were here until 5pm tgif bluechair… httptco9uvtEi0plT
6140		non-aggressive	0.044	0.956	My Granny jus got admitted into the hospital😓 But shes a hot blooded strong Ethiopian Queen I Knw Big Homie Upstairs lookin out for her 🙏
6141		non-aggressive	0.032	0.968	VIP line for We Are The In Crowd
6142		non-aggressive	0.076	0.924	“PrinceHOLDER Everyone forgets me”my life
6143		non-aggressive	0.02	0.98	I dont always foursquare but when I do its from 95 floors up sohigh  Signature Room at the 95th httptcocSjeX31xTE
6144		non-aggressive	0.103	0.897	Constraints Are Your Friend  httptcoTDgW0CwVdV
6145		non-aggressive	0.043	0.957	4 papers ✔️✔️✔️✔️ springbreak turnup
6146		non-aggressive	0.04	0.96	no games today homies
6147		non-aggressive	0.073	0.927	Sippin on coke n rum Im like so what Im drunk itssss daaaa freakin weekend baby Im bout to have me some fun 😜
6148		non-aggressive	0.07	0.93	jbarro tots doable
6149		non-aggressive	0.051	0.949	I been drinking waddle lob
6150		non-aggressive	0.013	0.987	Id love to hear a RyanSweeney12 home run during this game Start the season on a good note Right tashlov favoritecubbie
6151		non-aggressive	0.041	0.959	2 Tatts And Counting
6152		non-aggressive	0.05	0.95	Finally ordered my bridesmaid dress
6153		non-aggressive	0.062	0.938	Next Steakhouse Menu Dessert Norwegian Omelette nextrestaurant  Next Restaurant httptcotKp4Gggacv
6154		non-aggressive	0.051	0.949	This is so stressful
6155		non-aggressive	0.017	0.983	Thanks to friends Im here safe and sound  Chicago OHare International Airport ORD w 195 others pic httptcogMr9TZDFgf
6156		non-aggressive	0.028	0.972	Chicago  IL BusinessMgmt Job Senior Director Network Management at WellCare Health Plans httptcoRiacmBnstO Jobs
6157		non-aggressive	0.048	0.952	Guesses Im not watching anime at the dentists httptcobBXkOawwmW
6158		non-aggressive	0.32	0.68	Autocorrect is such a bitch 😑
6159		non-aggressive	0.078	0.922	This hurts more than anything
6160		non-aggressive	0.041	0.959	Knew desire to do IPO uwannabeeameyer “WSJ Breaking J Crew in talks to be sold to Japans Fast Retailing  httptcoXvcYyrGtRu”
6161		non-aggressive	0.024	0.976	speak0fdadevil help we are at the end of the VIP line
6162		non-aggressive	0.054	0.946	Getting Starbucks made my day turn great now if we win it will be fantastic DCMB JacketNation 💜🐝💛🏀
6163		non-aggressive	0.056	0.944	NHL TORONTO MAPLE LEAFS Assigned forward Carter Ashton to Toronto AHL httptcoLyjAIusGg7
6164		non-aggressive	0.057	0.943	kalahbaer YoungBrown39 tonight
6165		non-aggressive	0.056	0.944	TORONTO MAPLE LEAFS Assigned forward Carter Ashton to Toronto AHL httptcoHKOvLwUV00
6166		non-aggressive	0.104	0.896	You make it look so easy
6167		non-aggressive	0.067	0.933	FukEmGang Music gt Life
6168		non-aggressive	0.056	0.944	“TheRaceDraft Gucci Mane is the realest httptcoYbsIOvV6TP”AshGaff101
6169		non-aggressive	0.056	0.944	Thoroughly convinced theres nothing a pair of great black skinnies and gray crew neck long sleeve cant fix
6170		non-aggressive	0.062	0.938	city interviews in a trench hey adulthood
6171		non-aggressive	0.06	0.94	Just posted a photo  Lumen httptcoN7vPbVisbj
6172		non-aggressive	0.07	0.93	teresabarajas whitegirlpost bringmeone rightmeow
6173		non-aggressive	0.063	0.937	Its called being truthful try it sometime
6174		non-aggressive	0.04	0.96	RockMIKERock I agree Thanks mr rock
6175		non-aggressive	0.059	0.941	Enjoying a Brewers Reserve Bourbon Barrel Stout by Central Waters Brewing Company  Whole Foods Market — httptcoEomNB8GOAX photo
6176		non-aggressive	0.013	0.987	“Stuff4blackppl Saying theyll cheat on their girl for retweets httptco8iJ9DqadQb” I love this hahaha 😂😂
6177		non-aggressive	0.049	0.951	Guess Ill go to these parties tonight
6178		non-aggressive	0.042	0.958	Just added Brooklyn Irish Stout bottles See our full beer menu httptcoHLHLGjoTCe brooklynbrewery BeerMenus
6179		non-aggressive	0.066	0.934	baycarr12 proud of u  My bae is growing up 😘
6180		non-aggressive	0.065	0.935	kmbruner garrettmoore9 JaxDuzIt ClaudiaB25 MariahStarrCeci OMG just make out already
6181		non-aggressive	0.052	0.948	Me and jimmy and to take more pictures together lol
6182		non-aggressive	0.056	0.944	Asiago Ranch fries and a chocolate frosty👌 Wendys was definitely the move
6183		non-aggressive	0.029	0.971	All size 105 on our site httptcoC7JFxOzbXZ overtime1021 1021  1021 W Lake httptcoiEEMSTOcLz
6184		non-aggressive	0.056	0.944	Oomf used to be fat Uhh
6185		non-aggressive	0.068	0.932	Vintage drawers that hold mysterious itemssome of them were too rusted to open textileoutlet… httptcolndQRUX60c
6186		non-aggressive	0.092	0.908	LarissaMoyer ehhhhhh Im sure mines worst
6187		non-aggressive	0.075	0.925	Why rehearse when you can watch disney movies httptcoLx1ZgCNhaA
6188		non-aggressive	0.238	0.762	Niggas Get Changed Quick💯
6189		non-aggressive	0.06	0.94	STORE MANAGER  Dollar General Corporation  USAJobs httptcoOzb4QNQCBu Retail Job Jobs TweetMyJobs
6190		non-aggressive	0.089	0.911	AngelMax we agreed to have one thats it we dont kno where its gon be or nothin
6191		non-aggressive	0.105	0.895	But lo and behold there were two weeaboos in the fucking theater and christ almighty I wanted to light them on fire
6192		non-aggressive	0.046	0.954	ChooseChicago my favorite picture at navy pier httptcolpCuZmFJma
6193		non-aggressive	0.02	0.98	I wish I would have given this shift away I just wanna go home
6194		non-aggressive	0.096	0.904	Going to the hood to play ball later Which means im bout to  a lot of trash talk
6195		non-aggressive	0.089	0.911	Fitz dont got the juice no more Sally got all the juice now Scandal
6196		non-aggressive	0.096	0.904	Dont you worry Chicago is still very much frozen This cold sucksbut its seriously a beautiful… httptcociCl7vsck0
6197		non-aggressive	0.04	0.96	I HOPE CHIPOTLE WILL STILL TAKE MY CARD httptcoPo8t7OWmKg
6198		non-aggressive	0.006	0.994	I love my daughter to death but I should have stayed away from her ghetto mom in 92 uberXconversations
6199		non-aggressive	0.03	0.97	Today life is good 😊
6200		non-aggressive	0.06	0.94	I hate working right after school
6201		non-aggressive	0.079	0.921	Jadiebutter alright yeah
6202		non-aggressive	0.022	0.978	expanding my palette at ProteinBarChi w 2 others httptcod9SnZqBlPa
6203		non-aggressive	0.067	0.933	xmadisonlouise friends
6204		non-aggressive	0.046	0.954	Cant find a bar in Chicago that has Iron City or IC Light whatswrongwithyou
6205		non-aggressive	0.025	0.975	Hooking on Kings 4 on 4 for 30 secs
6206		non-aggressive	0.166	0.834	JimmyClarke I gotcha thats my bad Denver usually does well with the low risk moves but if you asked me I think they get Nicks and Britt
6207		non-aggressive	0.054	0.946	midnight NewOscarCategories best wizened old man teaching lessons to impatient young man scene
6208		non-aggressive	0.026	0.974	Nothing tastes as good as skinny feels except for likefood
6209		non-aggressive	0.038	0.962	CubsDen Im shocked also lol not a bad first two at bats for Barney
6210		non-aggressive	0.142	0.858	A couple ppl told me they would beat my ass for talking to oomf  Well tbh my loyalty is MORE greater than a few ass whoopings 💪😘💯 IDC IDC
6211		non-aggressive	0.023	0.977	Forbes ifIwereabillionaire Id get front row tickets to at least 1 game to EVERY professional sports stadium in the world and blowup my IG
6212		non-aggressive	0.165	0.835	My favorite shit ever httptcogdfGDsXrV8
6213		non-aggressive	0.112	0.888	jmart1794 Jesus chocolate makes you angry
6214		non-aggressive	0.046	0.954	Mike puked from too much sagebrush 😂😷
6215		non-aggressive	0.143	0.857	Them Zans 💊 got my nigga Lonnie tweakin on me 😂
6216		non-aggressive	0.023	0.977	Recruiting Job in Chicago  IL Life Sciences Recruiter at Green Key Resources httptco0uuS4Zu2W0 Jobs TweetMyJobs
6217		non-aggressive	0.088	0.912	Mama say keep going so ima continue growing
6218		non-aggressive	0.028	0.972	I hope you can see the hurt in my eyes
6219		non-aggressive	0.111	0.889	Missing you Kryssy 💜👼 httptcovIHlWYIAdy
6220		non-aggressive	0.034	0.966	I know youre tired of loving of loving with nobody to love
6221		non-aggressive	0.158	0.842	Boosie Gone Kill Me
6222		non-aggressive	0.051	0.949	“ComedyOrTruth me at school every single day httptco91QB5mjVaN”seyster19
6223		non-aggressive	0.024	0.976	CevoMyEggo gNAT2392 Cflahrdontcare gonna toss this in but a couple familys are goin for my 21st and my moms 50th like early june
6224		non-aggressive	0.069	0.931	alexwasily ya but it could have been his bastard child
6225		non-aggressive	0.131	0.869	Does the sight of me wantin you drive you crazyyy
6226		non-aggressive	0.038	0.962	My stepdad is for legalizing marijuana Loll
6227		non-aggressive	0.046	0.954	My hair so long but I hate it 😒
6228		non-aggressive	0.045	0.955	16 lbs 14 oz wjaclast httptco8BUlLdpUP5
6229		non-aggressive	0.192	0.808	lexichocho Xmarksthescott u a side hoe
6230		non-aggressive	0.088	0.912	Or sit in my living room cause I dont have a life lolz
6231		non-aggressive	0.064	0.936	Finding pit passes while doing laundrylol racelife
6232		non-aggressive	0.212	0.788	I Gatta Lay Low💂Cuz Niggas Aint Really My Bro💯
6233		non-aggressive	0.033	0.967	Its about to go down  Chi Tung Restaurant httptcoZEIScKgYCU
6234		non-aggressive	0.037	0.963	Survival19946 go right ahead but you might crash on the way back haha
6235		non-aggressive	0.027	0.973	I made banana pudding for some of my favorite people last night
6236		non-aggressive	0.246	0.754	Tmencl13 happy bday bitch enjoy that BK
6237		non-aggressive	0.037	0.963	Should the Colts go after Jonathan Martin Colts httptcoSMBnSOxSgS
6238		non-aggressive	0.039	0.961	lilmisslindsey I loved that phone Lol
6239		non-aggressive	0.034	0.966	hail3ysmith sleeman0903 come in my carryon bag plz☺️😏
6240		non-aggressive	0.052	0.948	xitlallyyy lol wut  Awk
6241		non-aggressive	0.039	0.961	Problems with having all the walk up music on my phone They pop up on shuffle ChadAlbert5 httptco07xtcohr0t
6242		non-aggressive	0.044	0.956	There should be laws against how much tax they take out on bonuses For realthat was depressing
6243		non-aggressive	0.039	0.961	My 1 Goal in life is to make you guys happy😊
6244		non-aggressive	0.127	0.873	Im stuck Stateside with you in my head
6245		non-aggressive	0.034	0.966	Taking unattractive videos of yourself for snapchat is probably the funnest thing ever
6246		non-aggressive	0.055	0.945	keeperofthecup KellyHockeyHall HockeyHallFame NHL will it be at Soldier Field Saturday StadiumSeries
6247		non-aggressive	0.047	0.953	CevoMyEggo gNAT2392 Cflahrdontcare and i think tim stull said he can get a bunch of people to go
6248		non-aggressive	0.03	0.97	missluv2luvu I should have taken that vow Lol
6249		non-aggressive	0.056	0.944	watching last nights midnight with gracehelbig harto and mametown 😻👌
6250		non-aggressive	0.037	0.963	AlexHough94 is so proud of himself right now
6251		non-aggressive	0.027	0.973	Seriously though I need a ride to the game
6252		non-aggressive	0.451	0.549	IMRICHYM 😂😂 he gone drop 👊 yo ass two Im 🆒
6253		non-aggressive	0.05	0.95	Someone buy me a keurig for my birthday this year and Ill love you forever
6254		non-aggressive	0.04	0.96	Sometimes I make my mixed drinks in sippie cups ☺⤴ KidAtHeart
6255		non-aggressive	0.07	0.93	Im going to stop drinking pop from now on
6256		non-aggressive	0.036	0.964	Its cuz I love them
6257		non-aggressive	0.046	0.954	CBeezy1023 yeah thats why I need more calories to get bigger But even when I took serious mass I didnt get fat 😳 everyones different
6258		non-aggressive	0.091	0.909	Fitz Dont know how to be president Scandal
6259		non-aggressive	0.088	0.912	Give me some leg tattoo ideas
6260		non-aggressive	0.066	0.934	midnight NewOscarCategories most cringeworthy documentary
6261		non-aggressive	0.126	0.874	Ill give you gas money
6262		non-aggressive	0.114	0.886	The girl was eeking and awwing very loudly and laughed at very inappropriate moments while the dude was talking his ass off
6263		non-aggressive	0.065	0.935	ltltltltSnap chats from your girlfriend with she is shopping at Walmart thatsdirty slootsbeslooting
6264		non-aggressive	0.048	0.952	LJerrells6 BRoyYaBoy ahh My bad bro 😁
6265		non-aggressive	0.032	0.968	Im at CVSpharmacy  cvsextra Chicago IL httptcoHZDaqiOTd5
6266		non-aggressive	0.129	0.871	ramirezpablo97 A girl should come over thats what you really want to say
6267		non-aggressive	0.412	0.588	“PiscesAreUs When in a relationship don’t try to make a Pisces jealous you wont incite them you will only disappoint them” FUCKING TRUTH
6268		non-aggressive	0.064	0.936	JChess what is it dude
6269		non-aggressive	0.039	0.961	GarrettPopcorn a trip to Chitown is NEVER complete until I get my ChicagoMix ☺️☺️⚡️
6270		non-aggressive	0.071	0.929	Stay golden Ponyboy
6271		non-aggressive	0.148	0.852	U wish I had a Ride over Paris Hse So I Can go Beat Her Sistainlaw Ass😤💯
6272		non-aggressive	0.11	0.89	Dont text and drive Tweet and drive HeadAss
6273		non-aggressive	0.094	0.906	either my dryer is making human noises or someones in my house cuz i hear shit
6274		non-aggressive	0.091	0.909	“MarinesFiance14 Sometimes when I say Im alone I dont mean Im by myself with no one around I mean hes not here” Yes😥
6275		non-aggressive	0.037	0.963	PP for 1 min 1058 left
6276		non-aggressive	0.052	0.948	Yummy yummy 😍 at SmoqueBBQ httptcozDakUtTSas
6277		non-aggressive	0.036	0.964	My new year resolution was not to get into anymore fights  not counting when I fought Bavonna like the day after New Years ithink it was
6278		non-aggressive	0.056	0.944	lol scary
6279		non-aggressive	0.03	0.97	Yorktown game a night we will recognize 5 Beautiful an amazing young ladies mclanin3 raginn55 addisonlinegar kbarttrum Sammykathleen21
6280		non-aggressive	0.105	0.895	These on and off stomach aches are killing me 😞
6281		non-aggressive	0.033	0.967	KenzieStaley seriously lol my life is so shitty
6282		non-aggressive	0.038	0.962	rustyj54 I started playing hockey Next couple years Ill be babbling about that all the time too Smh Sports my addiction haha
6283		non-aggressive	0.207	0.793	My voice sounds like shit
6284		non-aggressive	0.055	0.945	Idk why I try
6285		non-aggressive	0.068	0.932	Grocery shopping httptcoa7Wjk6h270
6286		non-aggressive	0.061	0.939	Bon Iver Radio comfy clothes and Yogi tea
6287		non-aggressive	0.092	0.908	mattdiehl3 what did you get for participation this week
6288		non-aggressive	0.057	0.943	Im seriously getting so annoyed right now
6289		non-aggressive	0.069	0.931	Just wanna be home already 💂
6290		non-aggressive	0.038	0.962	School is in session chipporn  The Poker Room httptco55XHbkPSuL
6291		non-aggressive	0.109	0.891	Iknw I aint Gon never catch her ass I need to go do it Now👊😡
6292		non-aggressive	0.032	0.968	Debating if I should go to thornwood or Thornton game tonight
6293		non-aggressive	0.006	0.994	Spotted 4 Penguins so far in downtown Chicago Very hard to tweet since my hands are frozen Nice win by the LAKings last night Im drunk
6294		non-aggressive	0.04	0.96	laurann33 good morning world and all who inhabit it
6295		non-aggressive	0.08	0.92	❗️❗️❗️❗️❗️❗️ Demigod Out Now httptcowKq1xpiC25
6296		non-aggressive	0.019	0.981	Its too early to upload something on IG I guess
6297		non-aggressive	0.048	0.952	Best friends are family💛💕 httptcozGXyNZ1D0i
6298		non-aggressive	0.034	0.966	TGIF  Have a great day  Work From Home httptco0gw1e6r0Vg
6299		non-aggressive	0.057	0.943	Every time I buy bras I end up needing a bigger size Not sure how I feel about that
6300		non-aggressive	0.017	0.983	Holland accident on Highland Ave at E 8th St as reported by police traffic httptcow04tLckc3v
6301		non-aggressive	0.218	0.782	jaasdarko yeah Im going His even picking me up Lmfao Dont worry honey well be our own group Im always a loner at parties anyway
6302		non-aggressive	0.048	0.952	what I need in life  one direction books one direction one direction one direction
6303		non-aggressive	0.015	0.985	Im at Macys Chicago IL w 6 others httptcog9HCraTC4c
6304		non-aggressive	0.076	0.924	Smithmier3 you better knock on wood
6305		non-aggressive	0.049	0.951	Honestly cant wait to get my Pilates booty on with Caitlin
6306		non-aggressive	0.069	0.931	Awful😕
6307		non-aggressive	0.083	0.917	Im paranoid Im trippin
6308		non-aggressive	0.032	0.968	“CarrieMuskat Darwin Barney hits 1st spring HR in Cubs 4th” AnnieTimbers  yourman
6309		non-aggressive	0.297	0.703	Lets Get It💃💰All Dat Fu Shit I Aint Wit It📛🙅
6310		non-aggressive	0.05	0.95	Survival19946 okay thanks again
6311		non-aggressive	0.052	0.948	Einstein wants to cuddle now
6312		non-aggressive	0.057	0.943	Just posted a photo  Chi Tung Restaurant httptcoKxyDvfwxvD
6313		non-aggressive	0.056	0.944	Also the guy was dressed as Ash Ketchum and the girl cosplayed a student from some anime I think it was Ouran I wanted to kill them
6314		non-aggressive	0.074	0.926	shuttttupmeg tell that to your hair And your skin And your freckles
6315		non-aggressive	0.032	0.968	I feel so weak 😔
6316		non-aggressive	0.032	0.968	I feel like something bad is going to happen because of Yik yakhaha
6317		non-aggressive	0.091	0.909	slomeli68 thank you tio
6318		non-aggressive	0.045	0.955	I really want some strawberries 🍓🍓
6319		non-aggressive	0.147	0.853	You cant be ugly and have a bad personality Pick a struggle 😂😂
6320		non-aggressive	0.064	0.936	Step Brothers never gets old 😂😂😂 BoatsNHoes
6321		non-aggressive	0.096	0.904	Dont you worry Chicago is still very frozen The cold sucks but its quite a beautiful sight Cue… httptcoTILEIBFbE9
6322		non-aggressive	0.068	0.932	IMRICHYM omg ✌️✌️
6323		non-aggressive	0.049	0.951	CBeezy1023 thats 1250 calories just one shake I think But you shouldve done complex gainer have the calories just as much protein
6324		non-aggressive	0.062	0.938	This Cake Fye
6325		non-aggressive	0.144	0.856	If youre in a shitty relationship and refuse to leave at least stop tweeting about it haha we dont care
6326		non-aggressive	0.046	0.954	CrouchinTiger69 ZoltanTheMan joeschulte31 JacobPasek MRFISH22 QAndrews7 DFresh27 DominicGiordano I didnt list faggots
6327		non-aggressive	0.043	0.957	Im at Hendricks Regional Health YMCA Avon IN httptcoQza8AwVlJI
6328		non-aggressive	0.125	0.875	Cant get  caught lackin over here 💯
6329		non-aggressive	0.077	0.923	Work would be a lot better if I didnt have to wear a stupid visor 😑
6330		non-aggressive	0.211	0.789	Be careful who you treat badly because someday you might need them
6331		non-aggressive	0.068	0.932	Love these girls airfit httptconynDO7FAGY
6332		non-aggressive	0.083	0.917	I had to stay after school And shit 👎
6333		non-aggressive	0.05	0.95	midnight NewOscarCategories most seamless transition from fight to sex scene
6334		non-aggressive	0.069	0.931	CHRIST  VoteStoryOfMyLife Vote1D VoteDirectioners httptcovOQpzprRvF
6335		non-aggressive	0.048	0.952	Shut up and take the accounting exam already
